missingPercent,clusterSize,perGroupN,targetPower,sigmaSq,icc,numGroups,betaScale,empiricalPower
0,5,40,0.2,2,0.04,2,0.1717484947,0.2002
0.2,5,40,0.2,2,0.04,2,0.1776124623,0.1897
0.4,5,40,0.2,2,0.04,2,0.1873003684,0.1901
0,5,40,0.5,2,0.04,2,0.3020350783,0.5059
0.2,5,40,0.5,2,0.04,2,0.3123190892,0.489
0.4,5,40,0.5,2,0.04,2,0.3293479461,0.4845
0,5,40,0.8,2,0.04,2,0.4317404325,0.7996
0.2,5,40,0.8,2,0.04,2,0.4464453645,0.787
0.4,5,40,0.8,2,0.04,2,0.470803037,0.7932
0,5,40,0.2,2,0.04,4,0.2100087242,0.26
0.2,5,40,0.2,2,0.04,4,0.2185171124,0.2494
0.4,5,40,0.2,2,0.04,4,0.2304109306,0.2489
0,5,40,0.5,2,0.04,4,0.3248744704,0.5636
0.2,5,40,0.5,2,0.04,4,0.3371715763,0.5514
0.4,5,40,0.5,2,0.04,4,0.3555533296,0.5565
0,5,40,0.8,2,0.04,4,0.4314670519,0.8232
0.2,5,40,0.8,2,0.04,4,0.4469954773,0.8199
0.4,5,40,0.8,2,0.04,4,0.4713901043,0.8187
