missingPercent,clusterSize,perGroupN,targetPower,sigmaSq,icc,numGroups,betaScale,empiricalPower
0,5,10,0.2,2,0.04,2,0.340532892,0.1739
0.2,5,10,0.2,2,0.04,2,0.357744069,0.1711
0.4,5,10,0.2,2,0.04,2,0.377528759,0.1754
0,50,10,0.2,2,0.04,2,0.171842191,0.1857
0.2,50,10,0.2,2,0.04,2,0.175554792,0.1916
0.4,50,10,0.2,2,0.04,2,0.180432027,0.1854
0,5,40,0.2,2,0.04,2,0.171748495,0.1982
0.2,5,40,0.2,2,0.04,2,0.177612462,0.1936
0.4,5,40,0.2,2,0.04,2,0.187300368,0.193
0,50,40,0.2,2,0.04,2,0.085796049,0.1951
0.2,50,40,0.2,2,0.04,2,0.087452042,0.198
0.4,50,40,0.2,2,0.04,2,0.089869369,0.1917
0,5,10,0.5,2,0.04,2,0.598786498,0.4503
0.2,5,10,0.5,2,0.04,2,0.629045818,0.4455
0.4,5,10,0.5,2,0.04,2,0.663855103,0.4319
0,50,10,0.5,2,0.04,2,0.302188375,0.4602
0.2,50,10,0.5,2,0.04,2,0.308707521,0.4567
0.4,50,10,0.5,2,0.04,2,0.317272564,0.455
0,5,40,0.5,2,0.04,2,0.302035078,0.4953
0.2,5,40,0.5,2,0.04,2,0.312319089,0.4998
0.4,5,40,0.5,2,0.04,2,0.329347946,0.4858
0,5,10,0.8,2,0.04,2,0.855995764,0.7438
0.2,5,10,0.8,2,0.04,2,0.899221374,0.7531
0.4,5,10,0.8,2,0.04,2,0.948999064,0.7539
0,50,10,0.8,2,0.04,2,0.431943823,0.7511
0.2,50,10,0.8,2,0.04,2,0.44127815,0.7702
0.4,50,10,0.8,2,0.04,2,0.453536178,0.7595
0,5,40,0.8,2,0.04,2,0.431740433,0.7937
0.2,5,40,0.8,2,0.04,2,0.446445365,0.7838
0.4,5,40,0.8,2,0.04,2,0.470803037,0.7849
0,5,10,0.2,2,0.04,4,0.418307681,0.2379
0.2,5,10,0.2,2,0.04,4,0.438184006,0.2333
0.4,5,10,0.2,2,0.04,4,0.462190198,0.2252
0,5,40,0.2,2,0.04,4,0.210008724,0.2494
0.2,5,40,0.2,2,0.04,4,0.218517112,0.2565
0.4,5,40,0.2,2,0.04,4,0.230410931,0.254
0,5,10,0.5,2,0.04,4,0.645799143,0.5175
0.2,5,10,0.5,2,0.04,4,0.677066892,0.5125
0.4,5,10,0.5,2,0.04,4,0.714283159,0.5042
0,5,40,0.5,2,0.04,4,0.32487447,0.5569
0.2,5,40,0.5,2,0.04,4,0.337171576,0.5498
0.4,5,40,0.5,2,0.04,4,0.35555333,0.554
0,5,10,0.8,2,0.04,4,0.856491932,0.7795
0.2,5,10,0.8,2,0.04,4,0.898395709,0.79
0.4,5,10,0.8,2,0.04,4,0.947862009,0.7778
0,5,40,0.8,2,0.04,4,0.431467052,0.8377
0.2,5,40,0.8,2,0.04,4,0.446995477,0.826
0.4,5,40,0.8,2,0.04,4,0.471390104,0.825
