targetPower,monotone,covarCS,covarCSH,covarAR1,missingPercent,perGroupN,numGroups,maxObservations,betaScale,empiricalPower
0.2,1,1,0,0,0,25,2,5,0.4801288786,0.1947
0.5,1,1,0,0,0,25,2,5,0.7851169833,0.4953
0.8,1,1,0,0,0,25,2,5,1.0705337384,0.7827
0.2,1,0,1,0,0,25,2,5,0.4370016637,0.1947791165
0.5,1,0,1,0,0,25,2,5,0.7145938906,0.4794011254
0.8,1,0,1,0,0,25,2,5,0.9743802567,0.785233551
0.2,1,0,0,1,0,25,2,5,0.4886432987,0.1909
0.5,1,0,0,1,0,25,2,5,0.7990307846,0.5008
0.8,1,0,0,1,0,25,2,5,1.0895032664,0.7828
0.2,1,0,0,0,0,25,2,5,0.4886432987,0.3317
0.5,1,0,0,0,0,25,2,5,0.7990307846,0.6893
0.8,1,0,0,0,0,25,2,5,1.0895032664,0.9279
0.2,1,1,0,0,0.2,25,2,5,0.4862597108,0.1929
0.5,1,1,0,0,0.2,25,2,5,0.7951424248,0.4778
0.8,1,1,0,0,0.2,25,2,5,1.0842023335,0.7901
0.2,1,0,1,0,0.2,25,2,5,0.4371806218,0.1932568295
0.5,1,0,1,0,0.2,25,2,5,0.714887938,0.4762049106
0.8,1,0,1,0,0.2,25,2,5,0.9747814621,0.776617319
0.2,1,0,0,1,0.2,25,2,5,0.494339575,0.201
0.5,1,0,0,1,0.2,25,2,5,0.8083241997,0.4829
0.8,1,0,0,1,0.2,25,2,5,1.1021735685,0.7867
0.2,1,0,0,0,0.2,25,2,5,0.494339575,0.3137
0.5,1,0,0,0,0.2,25,2,5,0.8083241997,0.6943
0.8,1,0,0,0,0.2,25,2,5,1.1021735685,0.9266
0.2,0,1,0,0,0.2,25,2,5,0.4862597846,0.1962
0.5,0,1,0,0,0.2,25,2,5,0.7951425454,0.4894
0.8,0,1,0,0,0.2,25,2,5,1.0842024981,0.7868
0.2,0,0,1,0,0.2,25,2,5,0.4371411062,0.2139525451
0.5,0,0,1,0,0.2,25,2,5,0.7148255302,0.4996964792
0.8,0,0,1,0,0.2,25,2,5,0.9746974957,0.7792601577
0.2,0,0,0,1,0.2,25,2,5,0.4950085627,0.1923
0.5,0,0,0,1,0.2,25,2,5,0.8094159261,0.5008
0.8,0,0,0,1,0.2,25,2,5,1.1036619454,0.7923
0.2,0,0,0,0,0.2,25,2,5,0.4950085627,0.3055
0.5,0,0,0,0,0.2,25,2,5,0.8094159261,0.6687
0.8,0,0,0,0,0.2,25,2,5,1.1036619454,0.9191
0.2,1,1,0,0,0.4,25,2,5,0.4929050928,0.1939
0.5,1,1,0,0,0.4,25,2,5,0.8059833272,0.491
0.8,1,1,0,0,0.4,25,2,5,1.0989820135,0.7848
0.2,1,0,1,0,0.4,25,2,5,0.437465983,0.1880271549
0.5,1,0,1,0,0.4,25,2,5,0.715355348,0.4778578785
0.8,1,0,1,0,0.4,25,2,5,0.9754185728,0.774289525
0.2,1,0,0,1,0.4,25,2,5,0.5005115151,0.1943
0.5,1,0,0,1,0.4,25,2,5,0.8183982962,0.4776
0.8,1,0,0,1,0.4,25,2,5,1.1159076751,0.7878
0.2,1,0,0,0,0.4,25,2,5,0.5005115151,0.3076
0.5,1,0,0,0,0.4,25,2,5,0.8183982962,0.6773
0.8,1,0,0,0,0.4,25,2,5,1.1159076751,0.9208
0.2,0,1,0,0,0.4,25,2,5,0.4929051795,0.1939
0.5,0,1,0,0,0.4,25,2,5,0.8059834688,0.4852
0.8,0,1,0,0,0.4,25,2,5,1.0989822066,0.7892
0.2,0,0,1,0,0.4,25,2,5,0.4373067117,0.2426485708
0.5,0,0,1,0,0.4,25,2,5,0.7150947779,0.5270576132
0.8,0,0,1,0,0.4,25,2,5,0.9750635364,0.7939088384
0.2,0,0,0,1,0.4,25,2,5,0.5018638974,0.1958
0.5,0,0,0,1,0.4,25,2,5,0.8207059926,0.4869
0.8,0,0,0,1,0.4,25,2,5,1.1190538134,0.7865
0.2,0,0,0,0,0.4,25,2,5,0.5018638974,0.2926
0.5,0,0,0,0,0.4,25,2,5,0.8207059926,0.6532
0.8,0,0,0,0,0.4,25,2,5,1.1190538134,0.9017
